source,target,label,context,is_trigger,is_dense,has_amend,density,doc_id
COBS 1.1.1AA,COBS 1.1.1AR,1,"Except in COBS 6.2B , in the rules referred to in COBS 1.1.1AR(1) (and in any related guidance ), references to: (1) investment services and designated investment business include se",1,0,0,2,COBS_0003
COBS 2.2.3,COBS 2.2B.5R,1,ny. [ Note: article 3g(1)(b) of SRD ] COBS 2.2B.8 10/06/2019 R The applicable disclosures or information referred to in COBS 2.2B.5R to COBS 2.2B.7R must be made available free of charge on the firm s website. [ Note: article 3g(2) of SRD ] Transparenc,1,1,0,4,COBS_0027
COBS 2.3.12,COBS 6.1A.5,1,"payment of an adviser charge or consultancy charge where it is no longer payable by the retail client , as described in COBS 6.1A.5 G or COBS 6.1C.6 G ); unless all the conditions in (4) are satisfied. A retail investment product provider or operator ",1,0,0,2,COBS_0041
COBS 2.3.17,COBS 2.3.1R,1,(1) A firm must make a record of the information disclosed to the client in accordance with COBS 2.3.1R (2)(b) and must keep that record for at least five years from the date on which it was given. (2) A firm must also make,1,0,0,2,COBS_0050
COBS 2.3.17,COBS 2.3B,1,"on to MiFID, equivalent third country or optional exemption business ) third party research received in accordance with COBS 2.3B (see COBS 2.3B.3R ). (2) Where a firm pays, provides, accepts or receives, a fee, commission or non-monetary benefit wh",1,0,0,2,COBS_0050
COBS 2.3.17,COBS 2.3B.3R,1,"uivalent third country or optional exemption business ) third party research received in accordance with COBS 2.3B (see COBS 2.3B.3R ). (2) Where a firm pays, provides, accepts or receives, a fee, commission or non-monetary benefit which falls within (",1,0,0,2,COBS_0050
COBS 2.3.17,COBS 2.3A.10R,1,"the provision of the relevant service; and (b) in a manner that is comprehensive, accurate and understandable (see also COBS 2.3A.10R (Disclosure of payments or benefits received from, or paid to, third parties)). (4) Where applicable, a firm must infor",1,0,0,1,COBS_0050
COBS 2.3.17,COBS 6.1A.5G,1,"payment of an adviser charge or consultancy charge where it is no longer payable by the retail client , as described in COBS 6.1A.5G or COBS 6.1C.6G ); unless all the conditions in (4) are satisfied. A retail investment product provider should also tak",1,0,0,2,COBS_0050
COBS 2.3.17,COBS 2.3A.15R,1,"nvestment product provider. (6) Contravention of (2) or (3) may be relied upon as tending to establish contravention of COBS 2.3A.15R . COBS 2.3A.28 03/01/2018 G Where a retail investment product provider, or its associate , provides credit to a retail ",1,0,0,2,COBS_0050
COBS 2.3.17,COBS 2.3B.4R,1,"ents from a separate research payment account controlled by the firm , provided that the firm meets the requirements in COBS 2.3B.4R relating to the operation of the account; or (3) joint payments for third-party research and execution services, provid",1,1,0,6,COBS_0050
COBS 2.3.17,COBS 2.3B.8R,1,"account and agreeing the research charge with its clients ; and (b) the research budget must comply with COBS 2.3B.7R , COBS 2.3B.8R(2) and COBS 2.3B.11R ; (3) the firm must be fully responsible for the research payment account; and (4) the firm must r",1,0,0,3,COBS_0050
COBS 2.4.8,COBS 2.4.6R,1,It will generally be reasonable (in accordance with COBS 2.4.6R (2) ) for a firm to rely on information provided to it in writing by an unconnected authorised person or a professional,1,0,0,1,COBS_0059
COBS 3.6.4B,COBS 3.6.4R,1,"If a client requests to be treated as an eligible counterparty , in accordance with COBS 3.6.4R or COBS 3.6.4AR , the following procedure must be followed: (1) the firm shall provide the client with a clear written ",1,0,0,2,COBS_0100
COBS 3.7.3A,COBS 3.6.2R,1,ssional client or retail client where that client might otherwise be classified as an eligible counterparty pursuant to COBS 3.6.2R ; or (2) as a retail client where that client is considered a professional client pursuant to COBS 3.5.2R .,1,0,0,2,COBS_0105
COBS 3.7.3A,COBS 3.5.2R,1,y pursuant to COBS 3.6.2R ; or (2) as a retail client where that client is considered a professional client pursuant to COBS 3.5.2R .,1,0,0,2,COBS_0105
COBS 4.5.3,COBS 4.5.2AR,1,"(1) The effect of COBS 4.5.2R(1) is that, where relevant and subject to COBS 4.5.2AR , the name of the firm that approved or confirmed the compliance of a financial promotion must be included in that fina",1,0,0,2,COBS_0142
COBS 4.5.12,COBS 4.5.13R,1,"Subject to COBS 4.5.13R , an authorised fund manager must include in any communication about an authorised fund to which this rule applies: (1)",1,0,0,1,COBS_0153
