doc_id,url,title,clean_text,type,word_count,provision_ref,provision_date,type_code,label,text
COBS_0626,https://www.handbook.fca.org.uk/handbook/COBS/18/,COBS 18.1.2,"The provisions of COBS in the table do not apply to a trustee firm to which this section applies: COBS Description 6.1A Adviser charging and remuneration 6.1B Retail investment product provider requirements relating to adviser charging and remuneration 6.4 Disclosure of charges, remuneration and commission 9.6 Special rules for providing basic advice on a stakeholder product 16A.4.5 Guidance on contingent liability transactions",Rule,62,COBS 18.1.2,03/01/2018,R,0,"The provisions of COBS in the table do not apply to a trustee firm to which this section applies: COBS Description 6.1A Adviser charging and remuneration 6.1B Retail investment product provider requirements relating to adviser charging and remuneration 6.4 Disclosure of charges, remuneration and commission 9.6 Special rules for providing basic advice on a stakeholder product 16A.4.5 Guidance on contingent liability transactions"
COBS_0578,https://www.handbook.fca.org.uk/handbook/COBS/16/,COBS 16.2.3,"For the purposes of calculating the unit price in the trade confirmation information , where the order is executed in tranches, the firm may supply the client with information about the price of each tranche or the average price. If the average price is provided, the firm must supply the retail client with information about the price of each tranche upon request.",Rule,62,COBS 16.2.3,03/01/2018,R,0,"For the purposes of calculating the unit price in the trade confirmation information , where the order is executed in tranches, the firm may supply the client with information about the price of each tranche or the average price. If the average price is provided, the firm must supply the retail client with information about the price of each tranche upon request."
COBS_0184,https://www.handbook.fca.org.uk/handbook/COBS/4/,COBS 4.9.3,"A firm must not communicate or approve a financial promotion which relates to a particular relevant investment or relevant business of an overseas person , unless: (1) the financial promotion makes clear which firm has approved or communicated it and, where relevant, explains: (a) that the rules made under the Act for the protection of retail clients do not apply; (b) the extent and level to which the compensation scheme will be available, or if the scheme will not be available, a statement to that effect; and (c) if the communicator wishes, the protection or compensation available under another system of regulation; and (2) the firm has taken reasonable steps to satisfy itself that the overseas person will deal with retail clients in the United Kingdom in an honest and reliable way. Financial promotions for an overseas long-term insurer",Rule,139,COBS 4.9.3,06/08/2010,R,0,"A firm must not communicate or approve a financial promotion which relates to a particular relevant investment or relevant business of an overseas person , unless: (1) the financial promotion makes clear which firm has approved or communicated it and, where relevant, explains: (a) that the rules made under the Act for the protection of retail clients do not apply; (b) the extent and level to which the compensation scheme will be available, or if the scheme will not be available, a statement to that effect; and (c) if the communicator wishes, the protection or compensation available under another system of regulation; and (2) the firm has taken reasonable steps to satisfy itself that the overseas person will deal with retail clients in the United Kingdom in an honest and reliable way. Financial promotions for an overseas long-term insurer"
COBS_0729,https://www.handbook.fca.org.uk/handbook/COBS/19/,COBS 19.1.1B,"When a firm uses a pension transfer specialist to check its proposed advice on pension transfers, pension conversions and pension opt-outs , it should ensure that the pension transfer specialist takes the following steps: (1) checks the entirety and completeness of the advice; (2) confirms that any personal recommendation is suitable for the retail client in accordance with the obligations in COBS 9.2.1R to 9.2.3R and including those matters set out at COBS 19.1.6G ; and (3) confirms in writing that they agree with the proposed advice before it is provided to the retail client , including any personal recommendation . Personal recommendation for pension transfers and conversions",Guidance,108,COBS 19.1.1B,01/04/2018,G,1,"When a firm uses a pension transfer specialist to check its proposed advice on pension transfers, pension conversions and pension opt-outs , it should ensure that the pension transfer specialist takes the following steps: (1) checks the entirety and completeness of the advice; (2) confirms that any personal recommendation is suitable for the retail client in accordance with the obligations in COBS 9.2.1R to 9.2.3R and including those matters set out at COBS 19.1.6G ; and (3) confirms in writing that they agree with the proposed advice before it is provided to the retail client , including any personal recommendation . Personal recommendation for pension transfers and conversions"
COBS_0556,https://www.handbook.fca.org.uk/handbook/COBS/15/,COBS 15.2.3,"The cancellation period begins: (1) either from the day of the conclusion of the contract, except in respect of contracts relating to life policies where the time limit will begin from the time when the consumer is informed that the contract has been concluded; or (2) from the day on which the consumer receives the contractual terms and conditions and any other pre-contractual information required under this sourcebook or the PRIIPs Regulation , if that is later than the date referred to above. [ Note: article186 of the Solvency II Directive and article 6(1) of the Distance Marketing Directive ]",Rule,100,COBS 15.2.3,01/01/2018,R,0,"The cancellation period begins: (1) either from the day of the conclusion of the contract, except in respect of contracts relating to life policies where the time limit will begin from the time when the consumer is informed that the contract has been concluded; or (2) from the day on which the consumer receives the contractual terms and conditions and any other pre-contractual information required under this sourcebook or the PRIIPs Regulation , if that is later than the date referred to above. [ Note: article186 of the Solvency II Directive and article 6(1) of the Distance Marketing Directive ]"
COBS_0661,https://www.handbook.fca.org.uk/handbook/COBS/18/,COBS 18.5.8,"Where the fund is an unauthorised fund managed by a small authorised UK AIFM or a residual CIS operator and no current investor in the fund was a retail client when it invested in the fund , the fund documents must include a statement that: (1) explains that if an investor is reclassified as a retail client subsequent to investing in the fund , then the firm may continue to treat all investors in the fund as though they were not retail clients ; (2) explains that if an investor is reclassified as a retail client subsequent to investing in the fund , then the modification of best execution (see COBS 18.5.4 R ) will continue to apply to that fund; and (3) explains that, in the event of such a reclassification, the firm will not be required to provide best execution in relation to the fund .",Rule,148,COBS 18.5.8,22/07/2013,R,0,"Where the fund is an unauthorised fund managed by a small authorised UK AIFM or a residual CIS operator and no current investor in the fund was a retail client when it invested in the fund , the fund documents must include a statement that: (1) explains that if an investor is reclassified as a retail client subsequent to investing in the fund , then the firm may continue to treat all investors in the fund as though they were not retail clients ; (2) explains that if an investor is reclassified as a retail client subsequent to investing in the fund , then the modification of best execution (see COBS 18.5.4 R ) will continue to apply to that fund; and (3) explains that, in the event of such a reclassification, the firm will not be required to provide best execution in relation to the fund ."
COBS_0030,https://www.handbook.fca.org.uk/handbook/COBS/2/,COBS 2.3.2,"A firm will satisfy the disclosure obligation under this section if it: (1) discloses the essential arrangements relating to the fee, commission or non-monetary benefit in summary form; (2) undertakes to the client that further details will be disclosed on request; and (3) honours the undertaking in (2). [ Note: article 29(2) of the UCITS implementing Directive ]",Rule,58,COBS 2.3.2,03/01/2018,R,0,"A firm will satisfy the disclosure obligation under this section if it: (1) discloses the essential arrangements relating to the fee, commission or non-monetary benefit in summary form; (2) undertakes to the client that further details will be disclosed on request; and (3) honours the undertaking in (2). [ Note: article 29(2) of the UCITS implementing Directive ]"
COBS_0818,https://www.handbook.fca.org.uk/handbook/COBS/19/,COBS 19.7.1,"In this section: (1) [deleted] (2)  pension decumulation product  is a product used to access pension savings and includes: (a) a facility to enable a retail client to make an uncrystallised funds pension lump sum payment; (b) an option to take a small lump sum payment ; (c) a drawdown pension ; and (d) a pension annuity ; (3)  pension savings  is the proceeds of the client s personal pension scheme or occupational pension scheme ; (4)  retirement risk warnings  are the warnings required to be given to a retail client at step 3 of the process specified in this section; (5)  risk factors  are the attributes, characteristics, external factors or other variables that increase the risk associated with a retail client's decision to access their pension savings using a pension decumulation product; (6)  signpost  is the written or oral statement encouraging a retail client to use pensions guidance or to take regulated advice to understand their options at retirement which is at step 1 of the process specified in this section; (7)  opt out  is the retail client s confirmation that they do not want to receive pensions guidance ; and (8) a reference to a   personal pension scheme   includes a stakeholder pension scheme , and for the avoidance of doubt, an FSAVC , retirement annuity contract or a pension buy-out contract . Application",Rule,225,COBS 19.7.1,02/04/2024,R,0,"In this section: (1)  (2) pension decumulation product is a product used to access pension savings and includes: (a) a facility to enable a retail client to make an uncrystallised funds pension lump sum payment; (b) an option to take a small lump sum payment ; (c) a drawdown pension ; and (d) a pension annuity ; (3) pension savings is the proceeds of the client s personal pension scheme or occupational pension scheme ; (4) retirement risk warnings are the warnings required to be given to a retail client at step 3 of the process specified in this section; (5) risk factors are the attributes, characteristics, external factors or other variables that increase the risk associated with a retail client's decision to access their pension savings using a pension decumulation product; (6) signpost is the written or oral statement encouraging a retail client to use pensions guidance or to take regulated advice to understand their options at retirement which is at step 1 of the process specified in this section; (7) opt out is the retail client s confirmation that they do not want to receive pensions guidance ; and (8) a reference to a personal pension scheme includes a stakeholder pension scheme , and for the avoidance of doubt, an FSAVC , retirement annuity contract or a pension buy-out contract . Application"
COBS_0035,https://www.handbook.fca.org.uk/handbook/COBS/2/,COBS 2.3.6A,"COBS 6.1A (Adviser charging and remuneration), COBS 6.1B (Retail investment product provider and operator of an electronic system in relation to lending and platform service provider requirements relating to adviser charging and remuneration), COBS 6.1C (Consultancy charging and remuneration) and COBS 6.1D (Product provider requirements relating to consultancy charging and remuneration) set out specific requirements as to when it is acceptable for a firm to pay or receive commissions, fees or other benefits: (1) relating to the provision of a personal recommendation on retail investment products , pension transfers , pension conversions , pension opt-outs or P2P agreements ; or (2) for giving advice, or providing services, to an employer in connection with a group personal pension scheme or group stakeholder pension scheme .",Guidance,124,COBS 2.3.6A,01/10/2020,G,1,"COBS 6.1A (Adviser charging and remuneration), COBS 6.1B (Retail investment product provider and operator of an electronic system in relation to lending and platform service provider requirements relating to adviser charging and remuneration), COBS 6.1C (Consultancy charging and remuneration) and COBS 6.1D (Product provider requirements relating to consultancy charging and remuneration) set out specific requirements as to when it is acceptable for a firm to pay or receive commissions, fees or other benefits: (1) relating to the provision of a personal recommendation on retail investment products , pension transfers , pension conversions , pension opt-outs or P2P agreements ; or (2) for giving advice, or providing services, to an employer in connection with a group personal pension scheme or group stakeholder pension scheme ."
COBS_0104,https://www.handbook.fca.org.uk/handbook/COBS/3/,COBS 3.7.2,It is the responsibility of a professional client or eligible counterparty to ask for a higher level of protection when it deems it is unable to properly assess or manage the risks involved. [ Note: third paragraph of section I and fourth paragraph of section II.2 of annex II to MiFID ],Guidance,52,COBS 3.7.2,03/01/2018,G,1,It is the responsibility of a professional client or eligible counterparty to ask for a higher level of protection when it deems it is unable to properly assess or manage the risks involved. [ Note: third paragraph of section I and fourth paragraph of section II.2 of annex II to MiFID ]
COBS_0898,https://www.handbook.fca.org.uk/handbook/COBS/19/,COBS 19.10.6,This section specifies the circumstances where a firm dealing with a non-advised retail client in relation to the investment of the sums or assets in their drawdown fund must: (1) give the retail client the opportunity to use the investment pathways ; (2) offer the retail client a pathway investment or refer the retail client to a firm that offers pathway investments ; (3) ensure that retail clients investing wholly or predominantly in cash-like investments make an active decision to do so; (4) provide warnings to retail clients investing wholly or predominantly in cash-like investments ; (5) remind clients about their option to shop around and use pensions guidance .,Guidance,110,COBS 19.10.6,01/12/2023,G,1,This section specifies the circumstances where a firm dealing with a non-advised retail client in relation to the investment of the sums or assets in their drawdown fund must: (1) give the retail client the opportunity to use the investment pathways ; (2) offer the retail client a pathway investment or refer the retail client to a firm that offers pathway investments ; (3) ensure that retail clients investing wholly or predominantly in cash-like investments make an active decision to do so; (4) provide warnings to retail clients investing wholly or predominantly in cash-like investments ; (5) remind clients about their option to shop around and use pensions guidance .
COBS_0087,https://www.handbook.fca.org.uk/handbook/COBS/3/,COBS 3.5.3D,"As a result of COBS 3.5.2BR and COBS 3.5.3CR , and depending on the outcome of the qualitative and quantitative tests required as a result of COBS 3.5.3BR , a firm may be required to categorise a UK local public authority or municipality differently in relation to the two sorts of business described at COBS 3.5.3CR(1)(a) and (b).",Guidance,58,COBS 3.5.3D,03/01/2018,G,1,"As a result of COBS 3.5.2BR and COBS 3.5.3CR , and depending on the outcome of the qualitative and quantitative tests required as a result of COBS 3.5.3BR , a firm may be required to categorise a UK local public authority or municipality differently in relation to the two sorts of business described at COBS 3.5.3CR(1)(a) and (b)."
COBS_0039,https://www.handbook.fca.org.uk/handbook/COBS/2/,COBS 2.3.11,"(1) If a firm enters into an arrangement with another firm under which it makes or receives a payment of commission in relation to the sale of a packaged product that is increased in excess of the amount disclosed to the client , the firm is likely to have breached the rules on disclosure of charges, remuneration and commission (see COBS 6.4 ) and, where applicable, the rule on inducements in COBS 2.3.1R (2)(b) , unless the increase is attributable to an increase in the premiums or contributions payable by that client . Providing credit and other benefits to firms that give personal recommendations on retail investment products or P2P agreements",Guidance,111,COBS 2.3.11,01/11/2007,G,1,"(1) If a firm enters into an arrangement with another firm under which it makes or receives a payment of commission in relation to the sale of a packaged product that is increased in excess of the amount disclosed to the client , the firm is likely to have breached the rules on disclosure of charges, remuneration and commission (see COBS 6.4 ) and, where applicable, the rule on inducements in COBS 2.3.1R (2)(b) , unless the increase is attributable to an increase in the premiums or contributions payable by that client . Providing credit and other benefits to firms that give personal recommendations on retail investment products or P2P agreements"
COBS_1145,https://www.handbook.fca.org.uk/handbook/COBS/21/,COBS 21.3.11,"(1) The stock lending arrangement is of the kind described in section 263B of the Taxation of Chargeable Gains Act 1992 (without extension by section 263C), and: (a) all the terms of the agreement under which securities are to be reacquired by the firm for the account of the unit-linked fund are in a form which is acceptable to the firm and in accordance with good market practice; (b) the counterparty is: (i) an authorised person ; or (ii) a person authorised in an EEA State ; or (iii) a person registered as a broker-dealer with the Securities and Exchange Commission of the United States of America; or (iv) a bank, or a branch of a bank, supervised and authorised to deal in investments as principal, with respect to OTC derivatives , by at least one of the following federal banking supervisory authorities of the United States of America: (A) [deleted]; (B) the Federal Deposit Insurance Corporation; (C) the Board of Governors of the Federal Reserve System; and (D) the Office of Thrift Supervision; and (c) collateral is obtained to secure the obligation of the counterparty under the terms in (a) and the collateral is: (i) acceptable to the firm ; (ii) adequate; and (iii) sufficiently immediate; and (d) for the purposes of property-linked assets only: (i) where the linked policyholder bears the whole of the risk associated with the stock lending transaction, the linked policyholder receives the whole of the recompense (net of fees and expenses); (ii) the extent of any risk that the linked policyholder bears in relation to the stock lending transaction is disclosed to them; and (iii) where the risk associated with the stock lending transaction is borne outside the linked fund , the linked fund receives a fair and reasonable recompense for the use of the linked policyholders' funds. (2) The counterparty for the purpose of (1) is the person who is obliged under the agreement in (1)(a) to transfer to the firm the securities transferred by the firm under the stock lending arrangement or securities of the same kind. (3) COBS 21.3.11R (1)(c) does not apply to a stock lending transaction made through Euroclear Bank SA/NV s Securities Lending and Borrowing Programme. Stock lending: treatment of collateral",Rule,373,COBS 21.3.11,01/01/2021,R,0,"(1) The stock lending arrangement is of the kind described in section 263B of the Taxation of Chargeable Gains Act 1992 (without extension by section 263C), and: (a) all the terms of the agreement under which securities are to be reacquired by the firm for the account of the unit-linked fund are in a form which is acceptable to the firm and in accordance with good market practice; (b) the counterparty is: (i) an authorised person ; or (ii) a person authorised in an EEA State ; or (iii) a person registered as a broker-dealer with the Securities and Exchange Commission of the United States of America; or (iv) a bank, or a branch of a bank, supervised and authorised to deal in investments as principal, with respect to OTC derivatives , by at least one of the following federal banking supervisory authorities of the United States of America: (A) ; (B) the Federal Deposit Insurance Corporation; (C) the Board of Governors of the Federal Reserve System; and (D) the Office of Thrift Supervision; and (c) collateral is obtained to secure the obligation of the counterparty under the terms in (a) and the collateral is: (i) acceptable to the firm ; (ii) adequate; and (iii) sufficiently immediate; and (d) for the purposes of property-linked assets only: (i) where the linked policyholder bears the whole of the risk associated with the stock lending transaction, the linked policyholder receives the whole of the recompense (net of fees and expenses); (ii) the extent of any risk that the linked policyholder bears in relation to the stock lending transaction is disclosed to them; and (iii) where the risk associated with the stock lending transaction is borne outside the linked fund , the linked fund receives a fair and reasonable recompense for the use of the linked policyholders' funds. (2) The counterparty for the purpose of (1) is the person who is obliged under the agreement in (1)(a) to transfer to the firm the securities transferred by the firm under the stock lending arrangement or securities of the same kind. (3) COBS 21.3.11R (1)(c) does not apply to a stock lending transaction made through Euroclear Bank SA/NV s Securities Lending and Borrowing Programme. Stock lending: treatment of collateral"
COBS_0062,https://www.handbook.fca.org.uk/handbook/COBS/2/,COBS 2.5.1,"(1) A firm must not enter into an agreement with a client under which a charge is, or may become, payable for an optional additional product unless the client has actively elected to obtain that specific product. (2) A firm must not impose a charge on a client for an optional additional product under an agreement entered into on or after 1 April 2016 unless the client has actively elected to obtain that specific product before becoming bound to pay the charge. (3) A firm must not invite or induce a client to obtain an optional additional product for which a charge will be, or may become, payable if the firm knows or has reasonable cause to suspect that: (a) a contravention of (1) or (2) will take place with respect to the product; or (b) the person supplying the optional additional product will act in a way that would contravene (1) or (2) if that person were a firm . (4) An omission by a client is not to be regarded as an active election for the purposes of this rule . (5) It is immaterial for the purposes of (3) whether or not the firm would or might be a party to the agreement for the optional additional product. (6) A charge includes a financial consideration of any kind, whether payable to the firm or any other person . (7) An optional additional product is a good, service or right of any description, whether or not financial in nature, that a client may obtain (or not, as the case may be) at his or her election in connection with, or alongside, a designated investment . (8) If the client is required to obtain the additional product as a condition of the transaction related to the designated investment , then that product is an optional additional product if the client is given a choice: (a) as to the seller or supplier of that product; or (b) which specific product to obtain. (9) It is immaterial for the purposes of (7) and (8) whether the optional additional product is obtained from the firm or another person . (10) (a) If, under the terms and conditions of an optional additional product, there is to be an automatic renewal of the agreement on substantially the same terms, it suffices for the purposes of (1) to (3) if the client actively elected before entering into the initial agreement or a preceding renewal to obtain the product. (b) An automatic renewal of the agreement is not to be regarded as being on substantially the same terms if, following the renewal, a charge will or may become payable for the optional additional product for the first time (in which case, (1) to (3) apply at the time of the renewal). (c) Except as set out in (b), changes in the level of charges for an optional additional product are to be disregarded in determining whether an automatic renewal of an agreement is on substantially the same terms. (11) A client may make an active election for the purposes of this rule through an intermediary in the sales process and through a person acting on behalf of the firm .",Rule,534,COBS 2.5.1,01/04/2016,R,0,"(1) A firm must not enter into an agreement with a client under which a charge is, or may become, payable for an optional additional product unless the client has actively elected to obtain that specific product. (2) A firm must not impose a charge on a client for an optional additional product under an agreement entered into on or after 1 April 2016 unless the client has actively elected to obtain that specific product before becoming bound to pay the charge. (3) A firm must not invite or induce a client to obtain an optional additional product for which a charge will be, or may become, payable if the firm knows or has reasonable cause to suspect that: (a) a contravention of (1) or (2) will take place with respect to the product; or (b) the person supplying the optional additional product will act in a way that would contravene (1) or (2) if that person were a firm . (4) An omission by a client is not to be regarded as an active election for the purposes of this rule . (5) It is immaterial for the purposes of (3) whether or not the firm would or might be a party to the agreement for the optional additional product. (6) A charge includes a financial consideration of any kind, whether payable to the firm or any other person . (7) An optional additional product is a good, service or right of any description, whether or not financial in nature, that a client may obtain (or not, as the case may be) at his or her election in connection with, or alongside, a designated investment . (8) If the client is required to obtain the additional product as a condition of the transaction related to the designated investment , then that product is an optional additional product if the client is given a choice: (a) as to the seller or supplier of that product; or (b) which specific product to obtain. (9) It is immaterial for the purposes of (7) and (8) whether the optional additional product is obtained from the firm or another person . (10) (a) If, under the terms and conditions of an optional additional product, there is to be an automatic renewal of the agreement on substantially the same terms, it suffices for the purposes of (1) to (3) if the client actively elected before entering into the initial agreement or a preceding renewal to obtain the product. (b) An automatic renewal of the agreement is not to be regarded as being on substantially the same terms if, following the renewal, a charge will or may become payable for the optional additional product for the first time (in which case, (1) to (3) apply at the time of the renewal). (c) Except as set out in (b), changes in the level of charges for an optional additional product are to be disregarded in determining whether an automatic renewal of an agreement is on substantially the same terms. (11) A client may make an active election for the purposes of this rule through an intermediary in the sales process and through a person acting on behalf of the firm ."
COBS_0806,https://www.handbook.fca.org.uk/handbook/COBS/19/,COBS 19.5.20,"In communicating information in compliance with COBS 19.5.5R(11) , the IGC should ensure, for example, that it is straightforward for a relevant scheme member to compare the transaction costs and administration charges between fund options that are available for them to select. COBS 19.6 Restriction on charges in qualifying schemes Application",Guidance,51,COBS 19.5.20,01/04/2020,G,1,"In communicating information in compliance with COBS 19.5.5R(11) , the IGC should ensure, for example, that it is straightforward for a relevant scheme member to compare the transaction costs and administration charges between fund options that are available for them to select. COBS 19.6 Restriction on charges in qualifying schemes Application"
COBS_1141,https://www.handbook.fca.org.uk/handbook/COBS/21/,COBS 21.3.7,"(1) A money-market instrument will be regarded as liquid if it can be sold at limited cost in an adequately short timeframe. (2) A money-market instrument will be regarded as having a value which can be accurately determined at any time if accurate and reliable valuations systems, which fulfil the following criteria, are available: (a) enabling the firm to calculate a net asset value in accordance with the value at which the instrument held in the portfolio could be exchanged between knowledgeable willing parties in an arm's length transaction; and (b) based either on market data or on valuation models, including systems based on amortised costs. (3) A money-market instrument that is normally dealt in on the money market and is admitted to, or dealt in, on an eligible market will be presumed to be liquid and have a value which can be accurately determined at any time, unless there is information available to the firm that would lead to a different determination.",Rule,163,COBS 21.3.7,01/01/2016,R,0,"(1) A money-market instrument will be regarded as liquid if it can be sold at limited cost in an adequately short timeframe. (2) A money-market instrument will be regarded as having a value which can be accurately determined at any time if accurate and reliable valuations systems, which fulfil the following criteria, are available: (a) enabling the firm to calculate a net asset value in accordance with the value at which the instrument held in the portfolio could be exchanged between knowledgeable willing parties in an arm's length transaction; and (b) based either on market data or on valuation models, including systems based on amortised costs. (3) A money-market instrument that is normally dealt in on the money market and is admitted to, or dealt in, on an eligible market will be presumed to be liquid and have a value which can be accurately determined at any time, unless there is information available to the firm that would lead to a different determination."
