doc_id,url,title,clean_text,type,word_count,provision_ref,provision_date,type_code
COBS_0001,https://www.handbook.fca.org.uk/handbook/COBS/1/,COBS 1.1.1,"This sourcebook applies to a firm with respect to the following activities carried on from an establishment maintained by it, or its appointed representative , in the United Kingdom : (1) [deleted] (2) designated investment business ; (3) long-term insurance business in relation to life policies ; and activities connected with them. Deposits (including structured deposits)",Rule,56,COBS 1.1.1,23/10/2025,R
COBS_0002,https://www.handbook.fca.org.uk/handbook/COBS/1/,COBS 1.1.1A,"This sourcebook applies to a firm with respect to activities carried on in relation to deposits from an establishment maintained by it, or its appointed representative , in the United Kingdom only as follows: Section / chapter Application in relation to deposits (1) The rules specified in COBS 1.1.1AER . A MiFID investment firm , a third country investment firm and a MiFID optional exemption firm when selling, or advising a client in relation to, a structured deposit . (2) COBS 4.6 (Past, simulated past and future performance) Communication or approval of a financial promotion relating to a structured deposit that is addressed to, or disseminated in such a way that it is likely to be received by, a retail client . (3) COBS 4.7 (Direct offer financial promotions) Communication or approval of a financial promotion relating to a cash deposit ISA , cash-only lifetime ISA or cash deposit CTF that is addressed to, or disseminated in such a way that it is likely to be received by, a retail client . (4) COBS 4.10 Approving and confirming compliance of financial promotions) To the extent that other rules in COBS 4 apply. (5) COBS 13 (Preparing product information) Producing a cash-deposit ISA , cash-only lifetime ISA or cash-deposit CTF . (6) COBS 14 (Providing product information to clients) Selling , personally recommending or arranging the sale of a cash-deposit ISA , cash-only lifetime ISA or cash-deposit CTF to a retail client . (7) COBS 15 (Cancellation) A cancellable contract between a consumer and a firm . Structured deposits: further provisions",Rule,260,COBS 1.1.1A,23/10/2025,R
COBS_0003,https://www.handbook.fca.org.uk/handbook/COBS/1/,COBS 1.1.1AA,"Except in COBS 6.2B , in the rules referred to in COBS 1.1.1AR(1) (and in any related guidance ), references to: (1) investment services and designated investment business include selling, or advising clients in relation to, structured deposits ; and (2) financial instruments and designated investments include structured deposits .",Rule,50,COBS 1.1.1AA,03/01/2018,R
COBS_0004,https://www.handbook.fca.org.uk/handbook/COBS/1/,COBS 1.1.1AE,"The rules which apply to a firm in COBS 1.1.1AR(1) when selling, or advising a client in relation to, a structured deposit : (1) are those in the sections or provisions of this sourcebook specified in the table below which constitute UK law on markets in financial instruments ; and (2) as those rules otherwise apply to the firm in relation to MiFID, equivalent third country or optional exemption business . COBS chapter Description COBS 2 Conduct of business obligations COBS 3 Client categorisation COBS 4 Communicating with clients, including financial promotions COBS 6.1ZA Information about the firm and compensation information (MiFID and insurance distribution provisions) COBS 6.2B Describing advice services COBS 8A Client agreements (MiFID provisions) COBS 9A Suitability (MiFID and insurance-based investment products provisions) COBS 10A Appropriateness (for non-advised services) (MiFID and insurance-based investment products provisions) COBS 11.2A.34R Best execution   MiFID provisions COBS 11.3 Client order handling COBS 11.4 Client limit orders COBS 11.5A Record keeping: client orders and transactions COBS 11A.1 Underwriting and placing COBS 12.2 Investment research and non-independent research COBS 14.3A Information about financial instruments (MiFID provisions) COBS 16A Reporting information to clients (MiFID and insurance-based investment products provisions)",Rule,194,COBS 1.1.1AE,23/10/2025,R
COBS_0005,https://www.handbook.fca.org.uk/handbook/COBS/1/,COBS 1.1.1AF,"The effect of COBS 1.1.1AER is that a rule in this sourcebook only applies to a firm when selling, or advising a client in relation to, a structured deposit if that rule : (1) would apply to the firm in relation to MiFID, equivalent third country or optional exemption business ; and (2) derives from MiFID or its implementing measures. Electronic money",Guidance,62,COBS 1.1.1AF,23/10/2025,G
COBS_0006,https://www.handbook.fca.org.uk/handbook/COBS/1/,COBS 1.1.1B,"COBS 4.4.3 R , COBS 5 (Distance communications), COBS 15.2 (The right to cancel), COBS 15.3 (Exercising a right to cancel), COBS 15.4 (Effects of cancellation) and COBS 15 Annex 1 (Exemptions from the right to cancel) apply to a firm with respect to the activity of issuing electronic money as set out in those provisions. Application to TP firms and Gibraltar-based firms",Rule,63,COBS 1.1.1B,30/04/2011,R
COBS_0016,https://www.handbook.fca.org.uk/handbook/COBS/1/,COBS 1.1.7,A contravention of a rule in this sourcebook that requires specific records to be kept for the purpose of complying with rules in SYSC 9 does not give rise to a right of action by a private person under section 138D of the Act (and each of those rules is specified under section 138D(3) of the Act as a provision giving rise to no such right of action). COBS 1.4 Interpretation Purpose,Rule,72,COBS 1.1.7,23/10/2025,R
COBS_0018,https://www.handbook.fca.org.uk/handbook/COBS/1/,COBS 1.4.2,"(1) Certain provisions in this sourcebook require firms to provide clients with information  in good time  (for example, COBS 6.1ZA.19AR ). (2) In determining what constitutes the provision of information  in good time , a firm should take into account, having regard to the urgency of the situation, the client's need for sufficient time to read and understand the information before taking an investment decision. (3) A client is likely to require more time to review information given on a complex or unfamiliar product or service, or a product or service a client has no experience with, than a client considering a simpler or more familiar product or service, or where the client has relevant prior experience. COBS 1 Annex 1 Application (see COBS 1.1.2R) COBS 1 Annex 1 19/01/2026 Part 1: What? Modifications to the general application of COBS according to activities 1. Eligible counterparty business 1.1 R The COBS provisions shown below do not apply to eligible counterparty business except, where the eligible counterparty business is in scope of the IDD , those provisions which implemented or derived from the IDD continue to apply. COBS provision Description COBS 2 (other than COBS 2.1.1AR , COBS 2.2A and COBS 2.4 ) Conduct of business obligations COBS 4 (other than COBS 4.2 and COBS 4.4.1 R ) Communicating with clients including financial promotions COBS 6.1 Information about the firm, its services and remuneration (non-MiFID and non insurance distribution provisions) COBS 6.1ZA (other than COBS 6.1ZA.11R to COBS 6.1ZA.13R ) Information about costs and charges of different services or products (MiFID provisions) COBS 8 Client agreements (non-MiFID provisions) COBS 8A Client agreements (MiFID provisions) COBS 10 Appropriateness (for non-MiFID and non-insurance-based investment products non-advised services) (non-MiFID and non-insurance-based investment products provisions) COBS 10A Appropriateness (for non-advised services) (MiFID and insurance-based investment products provisions) COBS 11.2A , COBS 11.2B and COBS 11.3 Best execution, quality of execution and client order handling COBS 12.2.18R Labelling of non-independent research COBS 14.3 Information about designated investments (non-MiFID provisions) COBS 14.3A (other than COBS 14.3A.3R ) Information about financial instruments (MiFID provisions) COBS 16 Reporting information to clients (non-MiFID provisions) COBS 16A.3 Occasional reporting: MiFID business [ Note: paragraphs 1 and 2 of article 30(1) of MiFID ] 2. Transactions between an MTF operator and its users 2.1 R The COBS provisions (applicable to MiFID business ) shown below do not apply to a transaction between an operator of an MTF and a member or participant in relation to the use of the MTF . COBS provision Description COBS 2 (other than COBS 2.4 ) Conduct of business obligations COBS 4 (other than COBS 4.4.1R ) Communicating with clients, including financial promotions COBS 6.1ZA Information about the firm and compensation information (MiFID provisions) COBS 8A Client agreements (MiFID provisions) COBS 10A Appropriateness (for non-advised services) (MiFID provisions) COBS 11.2A , COBS 11.2B , COBS 11.3 and COBS 11.4 Best execution, quality of execution, client order handling and client limit orders COBS 14.3A Information about financial instruments (MiFID provisions) COBS 16A Reporting information to clients (MiFID provisions) [ Note: article 19(4) of MiFID ] 3. Transactions concluded on an MTF 3.1 R The COBS provisions in paragraph 2.1R do not apply to transactions concluded under the rules governing an MTF between members or participants of the MTF . However, the member or participant must comply with those provisions in respect of its clients if, acting on its clients behalf, it is executing their orders on an MTF . [ Note: article 19(4) of MiFID ] 3A. Operators of OTFs 3A.1 G [deleted] 4. Transactions concluded on a regulated market 4.1 R In relation to transactions concluded on a regulated market , members and participants of the regulated market are not required to apply to each other the COBS provisions in paragraph 2.1R. However, the member or participant must comply with those provisions in respect of its clients if, acting on its clients behalf, it is executing their orders on a regulated market . [ Note: article 53(4) of MiFID ] 5. Consumer credit products 5.1 R If a firm , in relation to its MiFID business , offers an investment service as part of a financial product that is subject to other provisions of EU -derived law related to credit institutions and consumer credits with respect to information requirements, that service is not subject to the rules in this sourcebook that implemented articles 24(3), (4) and (5) of MiFID . [ Note: article 24(6) of MiFID ] 5.2 G This exclusion for consumer credit products is intended to apply on a narrow basis in relation to cases in which the investment service is a part of another financial product. It does not apply where the investment service is the essential or leading part of the financial product. It also does not apply where the service provided is a combination of an investment service and an ancillary service (for example, granting a credit for the execution of an order where the credit is instrumental to the buying or the selling of a financial instrument .) The exclusion also does not apply in relation to the sale of a financial instrument for the purpose of enabling a client to invest money to repay his obligations under a loan, mortgage or home reversion. 5A. Mortgages and mortgage bonds 5A.1 R The rule in paragraph 5A.2R applies in relation to an MCD credit agreement with a consumer which is subject to the provisions concerning the creditworthiness assessment of consumers in Chapter 6 of the MCD (which were transposed in MCOB 11 and MCOB 11A ). 5A.2 R If an agreement with a consumer within paragraph 5A.1R has as a pre-requisite the provision to that same consumer of an investment service in relation to mortgage bonds satisfying the conditions in paragraph 5A.3R in order for the loan to be payable, refinanced or redeemed, that investment service is not subject to the rules in this sourcebook which implemented article 25 of MiFID . 5A.3 R The conditions in paragraph 5A.2R are that the mortgage bonds: (1) are specifically issued to secure the financing of the MCD credit agreement in paragraph 5A.1R; and (2) have terms which are identical to the MCD credit agreement in paragraph 5A.1R. [ Note: article 25(7) of MiFID ] 6. Use of third party processors in life insurance distribution activities 6.1 R If a firm (or its appointed representative or, where applicable, its tied agent ) outsources insurance distribution activities to a third party processor : (1) the firm must accept responsibility for the acts and omissions of that third party processor conducting those outsourced activities; and (2) any COBS rule requiring the third party processor's identity to be disclosed to clients must be applied as a requirement to disclose the firm's identity; unless the third party processor is giving personal recommendations in relation to advising on investments (except P2P agreements) . 7. Modified meaning of regulated activities for UK AIFMs and UK UCITS management companies 7.1 R In determining whether a provision in COBS applies to a UK AIFM or a UK UCITS management company , an activity carried on by the firm which would be a regulated activity but for article 72AA (Managers of UCITS and AIFs) of the Regulated Activities Order , must be treated as a regulated activity carried on by the firm . 8. PRIIPs Regulation [deleted] Part 2: Where? Modifications to the general application according to location 1. EEA territorial scope rule: compatibility with European law [deleted] 2. Business with UK clients from overseas establishments 2.1 R (1) This sourcebook applies to a firm which carries on business with a client in the United Kingdom from an establishment overseas. (2) But the sourcebook does not apply to those activities if the office from which the activity is carried on were a separate person and the activity: (a) would fall within the overseas persons exclusions in article 72 of the Regulated Activities Order ; or (b) would not be regarded as carried on in the United Kingdom . 2.2 G [deleted] 3 Public offer platforms 3.1 R This sourcebook applies to a firm with respect to its activity of operating a POP whether from an establishment maintained by it in the United Kingdom or overseas. Part 3: Guidance 1. The main extensions, modifications and restrictions to the general application 1.1 G The general application of this sourcebook is modified in Parts 1 and 2 of Annex 1 and in certain chapters of the Handbook . The modification may be an extension of the general application. For example, COBS 4 (Communicating with clients, including financial promotions) has extended the general application. 1.2 G [deleted] 1.3 G Certain chapters of this sourcebook apply only to firms in relation to their MiFID, equivalent third country or optional exemption business and, in some of these chapters, specified insurance distribution activities (sometimes only in relation to insurance-based investment products ) while others apply only to firms  designated investment business which is not MiFID, equivalent third country or optional exemption business or, in some of these chapters, certain insurance distribution activities . 1.4 G COBS 18 (Specialist regimes) contains specialist regimes which modify the application of the provisions in this sourcebook for particular types of firm and business. To the extent that they are in conflict, the rules in COBS 18 on the application of the provisions in this sourcebook should be understood as overriding any other provision (whether in COBS 1 or an individual chapter) on the application of COBS . 2. The Single Market Directives and other directives [deleted] 3. MiFID: effect on territorial scope [deleted] 4. Insurance Distribution Directive : effect on territorial scope [deleted] 5. Solvency II Directive: effect on territorial scope [deleted] 6. Distance Marketing Directive: effect on territorial scope [deleted] 7. Electronic Commerce Directive: effect on territorial scope [deleted] 8. Investor Compensation Directive [deleted] 9. UCITS Directive: effect on territorial scope [deleted] 10. AIFMD: effect on territorial scope [deleted] 11. SRD: effect on territorial scope [deleted] COBS 1 Annex 2 Application to TP firms and Gibraltar-based firms (see COBS 1.1.1CR) COBS 1 Annex 2 23/10/2025 Part 1: TP firms 1. Introduction 1.1 G (1) GEN 2.2 sets out how the Handbook applies to TP firms . (2) This Part supplements GEN 2.2 by further specifying how provisions in this sourcebook apply to TP firms . (3) In summary, the combined effect of GEN 2.2.26R and the rules in this Annex is that, for the purposes of this sourcebook, TP firms are subject to those rules which: (a) applied to them immediately prior to IP completion day (whether or not derived from EU law); (b) implemented an EU Directive and which relate to a matter which, immediately before IP completion day , was reserved to the TP firm's Home State or to the EEA State from where the service is provided; and (c) came into force after IP completion day and which are specified in this Annex. (4) However, GEN 2.2.26R(3) and (4) and paragraph 3 of this Annex include provisions which mean that a TP firm does not contravene certain rules in this sourcebook which derive from EU law to the extent that it complies with or applies a relevant provision of its Home State's law or directly applicable EU law. 2. Application of COBS 2.1 R In addition to those rules specified in GEN 2.2.26R , a TP firm must also comply with: (1) those rules , as in force from time to time, which substitute the UK version of Commission Delegated Regulation ( EU ) 2017/565 of 25 April 2016 which was part of UK law by virtue of the EUWA as at 23 October 2025; [ Note : The FCA has provided derivation and changes tables which indicate where provisions of assimilated EU law appear in the Handbook : eu -law/derivation-changes-tables ] (2) (to the extent that the rule does not already apply to such a TP firm as a result of GEN 2.2.26R ) the provisions in: (a) COBS 2.2 (Information disclosure before providing services (other than MiFID and insurance distribution)), where a rule in that section applies to a firm carrying on designated investment business in relation to a non-mass market investment ; (b) COBS 4.5.2R (Communicating with retail clients (non-MiFID provisions)   General rule ); (c) COBS 4.10 (Approving and confirming compliance of financial promotions); (d) COBS 4.11 (Record keeping: financial promotion); (e) COBS 4.12A (Promotion of restricted mass market investments); (f) COBS 4.12B (Promotion of non-mass market investments); (g) the rules in COBS 4 (Communicating with clients, including financial promotions) in so far as they relate to the communication and approval of financial promotions relating to qualifying cryptoassets ; (h) COBS 10 (Appropriateness (for non-advised services) (non-MiFID and non-insurance-based investment products provisions)); (i) COBS 14.3 (Information about designated investments (non-MiFID provisions)), where a rule in that chapter applies to a firm which is arranging (bringing about) or executing a deal in a speculative illiquid security ; (j) COBS 16.6.7AR (Drawdown pensions: annual statements) and COBS 16.6.8R to COBS 16.6.13G (Income withdrawals   annual statements) in relation to business carried on from an establishment in the United Kingdom ; (k) COBS 19.10 (Drawdown, investment pathways and cash warnings) in relation to business carried on from an establishment in the United Kingdom ; and (l) COBS TP 2 paragraphs 2.8G to 2.8J (Other Transitional Provisions) in relation to business carried on from an establishment in the United Kingdom . 3. Evidencing compliance 3.1 R A TP firm does not contravene a rule applied by paragraph 2.1R(1) ( the relevant rule  ) to the extent that: (1) at the time the firm was required to comply with the rule , the firm (or its appointed representative ) complied with a requirement in Commission Delegated Regulation ( EU ) 2017/565 supplementing Directive 2014/65/EU of the European Parliament and of the Council as regards organisational requirements and operating conditions for investment firms and defined terms for the purposes of that directive as it has effect in EU law ( the EEA requirement ) in relation to the services it provides in or into the United Kingdom ; and (2) the EEA requirement has equivalent effect to the relevant rule as it applies in the United Kingdom . 3.2 R Paragraph 3.1R does not apply unless a TP firm can demonstrate to the FCA that, at the relevant time, it complied with or applied a provision in that paragraph to the extent referred to there. 3.3 G (1) The purpose of paragraph 3.1R is to achieve an equivalent effect to GEN 2.2.26R(3) and (4) in relation to rules in this sourcebook that derive from the EU MiFID Org Regulation . (2) Further guidance on the application of the Handbook to TP firms can be found in GEN 2.2 . Part 2: Gibraltar-based firms 1. Introduction 1.1 G (1) GEN 2.3 sets out how the Handbook applies to Gibraltar-based firms . (2) This Part supplements GEN 2.3 by further specifying how provisions in this sourcebook apply to Gibraltar-based firms . (3) In summary, the combined effect of GEN 2.3.1R and the rules in this Annex is that, for the purposes of this sourcebook, Gibraltar-based firms are subject to: (a) rules which applied to them immediately prior to IP completion day (whether or not derived from EU law); and (b) rules which came into force after IP completion day and which are specified in this Annex. 2. Application of COBS 2.1 R In addition to those rules applying by virtue of GEN 2.3.1R , a Gibraltar-based firm must also comply with: (1) (in relation to a Gibraltar-based investment firm ), those rules , as in force from time to time, which substitute the UK version of Commission Delegated Regulation (EU) 2017/565 of 25 April 2016 which was part of UK law by virtue of the EUWA as at 23 October 2025 when carrying on business from an establishment in the United Kingdom ; [ Note : The FCA has provided derivation and changes tables which indicate where provisions of assimilated EU law appear in the Handbook: ] (2) (to the extent that the rule does not already apply to such a Gibraltar-based firm as a result of GEN 2.3.1R ) the provisions in: (a) COBS 2.2 (Information disclosure before providing services (other than MiFID and insurance distribution)), where a rule in that section applies to a firm carrying on designated investment business in relation to a non-mass market investment ; (b) COBS 4.5.2R (Communicating with retail clients (non-MiFID provisions)   General rule); (c) COBS 4.10 (Approving and confirming compliance of financial promotions); (d) COBS 4.11 (Record keeping: financial promotion); (e) COBS 4.12A (Promotion of restricted mass market investments); (f) COBS 4.12B (Promotion of non-mass market investments); (g) the rules in COBS 4 (Communicating with clients, including financial promotions) in so far as they relate to the communication and approval of financial promotions relating to qualifying cryptoassets ; (h) COBS 10 (Appropriateness (for non-advised services) (non-MiFID and non-insurance-based investment products provisions)); (i) COBS 14.3 (Information about designated investments (non-MiFID provisions)), where a rule in that chapter applies to a firm which is arranging (bringing about) or executing a deal in a speculative illiquid security ; (j) COBS 16.6.7AR (Drawdown pensions: annual statements) and COBS 16.6.8R to COBS 16.6.13G (Income withdrawals   annual statements) in relation to business carried on from an establishment in the United Kingdom ; (k) COBS 19.10 (Drawdown, investment pathways and cash warnings) in relation to business carried on from an establishment in the United Kingdom ; and (l) COBS TP 2 paragraphs 2.8G to 2.8J (Other Transitional Provisions) in relation to business carried on from an establishment in the United Kingdom . Point In Time 16/02/2026 16/02/2026 19/01/2026 01/01/2026 23/10/2025 05/04/2024 01/02/2023 30/04/2021 01/02/2021 01/01/2021 10/06/2019 01/10/2018 23/03/2018 03/01/2018 01/01/2018 06/04/2017 04/11/2016 01/01/2016 28/02/2014 22/07/2013 01/04/2013 27/07/2012 01/07/2011 30/04/2011 01/12/2009 01/11/2009 06/08/2008 06/02/2008 01/11/2007 Previous Chapter Next Chapter",Guidance,2992,COBS 1.4.2,23/10/2025,G
COBS_0019,https://www.handbook.fca.org.uk/handbook/COBS/2/,COBS 2.1.1,"(1) A firm must act honestly, fairly and professionally in accordance with the best interests of its client (the client's best interests rule ). (2) This rule applies: (a) in relation to designated investment business carried on for a retail client ; (b) in relation to MiFID, equivalent third country or optional exemption business , for any client ; and (c) in relation to insurance distribution , for any client . (3) For a management company , this rule applies in relation to any UCITS scheme the firm manages. [ Note: article 24(1) of MiFID , article 17(1) of the IDD and article 14(1)(a) and (b) of the UCITS Directive ] Business with eligible counterparties",Rule,115,COBS 2.1.1,01/01/2021,R
COBS_0022,https://www.handbook.fca.org.uk/handbook/COBS/2/,COBS 2.1.3,"(1) In order to comply with the client's best interests rule , a firm should not, in any communication to a retail client relating to designated investment business : (a) seek to exclude or restrict; or (b) rely on any exclusion or restriction of; any duty or liability it may have to a client other than under the regulatory system , unless it is honest, fair and professional for it to do so. (2) The general law, including the Unfair Terms Regulations (for contracts entered into before 1 October 2015) and the CRA , also limits the scope for a firm to exclude or restrict any duty or liability to a consumer . AIFMs  best interests rules",Guidance,117,COBS 2.1.3,01/10/2015,G
